site,date,variable,value
seine,2021-01-01,flow,593.0
seine,2021-01-02,flow,553.0
seine,2021-01-03,flow,540.0
seine,2021-01-04,flow,521.0
seine,2021-01-05,flow,503.0
seine,2021-01-06,flow,475.0
seine,2021-01-07,flow,451.0
seine,2021-01-08,flow,419.0
seine,2021-01-09,flow,391.0
seine,2021-01-10,flow,363.0
seine,2021-01-11,flow,331.0
seine,2021-01-12,flow,294.0
seine,2021-01-13,flow,365.0
seine,2021-01-14,flow,435.0
seine,2021-01-15,flow,596.0
seine,2021-01-16,flow,677.0
seine,2021-01-17,flow,690.0
seine,2021-01-18,flow,757.0
seine,2021-01-19,flow,771.0
seine,2021-01-20,flow,770.0
seine,2021-01-21,flow,767.0
seine,2021-01-22,flow,826.0
seine,2021-01-23,flow,915.0
seine,2021-01-24,flow,971.0
seine,2021-01-25,flow,978.0
seine,2021-01-26,flow,947.0
seine,2021-01-27,flow,918.0
seine,2021-01-28,flow,905.0
seine,2021-01-29,flow,945.0
seine,2021-01-30,flow,1050.0
seine,2021-01-31,flow,1130.0
seine,2021-02-01,flow,1200.0
seine,2021-02-02,flow,1230.0
seine,2021-02-03,flow,1250.0
seine,2021-02-04,flow,1250.0
seine,2021-02-05,flow,1250.0
seine,2021-02-06,flow,1270.0
seine,2021-02-07,flow,1300.0
seine,2021-02-08,flow,1300.0
seine,2021-02-09,flow,1300.0
seine,2021-02-10,flow,1280.0
seine,2021-02-11,flow,1230.0
seine,2021-02-12,flow,1180.0
seine,2021-02-13,flow,1130.0
seine,2021-02-14,flow,1070.0
seine,2021-02-15,flow,994.0
seine,2021-02-16,flow,943.0
seine,2021-02-17,flow,911.0
seine,2021-02-18,flow,868.0
seine,2021-02-19,flow,822.0
seine,2021-02-20,flow,788.0
seine,2021-02-21,flow,744.0
seine,2021-02-22,flow,688.0
seine,2021-02-23,flow,653.0
seine,2021-02-24,flow,608.0
seine,2021-02-25,flow,574.0
seine,2021-02-26,flow,544.0
seine,2021-02-27,flow,509.0
seine,2021-02-28,flow,488.0
seine,2021-03-01,flow,460.0
seine,2021-03-02,flow,425.0
seine,2021-03-03,flow,413.0
seine,2021-03-04,flow,398.0
seine,2021-03-05,flow,368.0
seine,2021-03-06,flow,367.0
seine,2021-03-07,flow,362.0
seine,2021-03-08,flow,346.0
seine,2021-03-09,flow,318.0
seine,2021-03-10,flow,317.0
seine,2021-03-11,flow,320.0
seine,2021-03-12,flow,316.0
seine,2021-03-13,flow,332.0
seine,2021-03-14,flow,333.0
seine,2021-03-15,flow,350.0
seine,2021-03-16,flow,364.0
seine,2021-03-17,flow,401.0
seine,2021-03-18,flow,468.0
seine,2021-03-19,flow,513.0
seine,2021-03-20,flow,511.0
seine,2021-03-21,flow,519.0
seine,2021-03-22,flow,514.0
seine,2021-03-23,flow,507.0
seine,2021-03-24,flow,487.0
seine,2021-03-25,flow,472.0
seine,2021-03-26,flow,440.0
seine,2021-03-27,flow,420.0
seine,2021-03-28,flow,406.0
seine,2021-03-29,flow,388.0
seine,2021-03-30,flow,363.0
seine,2021-03-31,flow,331.0
seine,2021-04-01,flow,335.0
seine,2021-04-02,flow,324.0
seine,2021-04-03,flow,299.0
seine,2021-04-04,flow,301.0
seine,2021-04-05,flow,296.0
seine,2021-04-06,flow,279.0
seine,2021-04-07,flow,276.0
seine,2021-04-08,flow,267.0
seine,2021-04-09,flow,250.0
seine,2021-04-10,flow,287.0
seine,2021-04-11,flow,296.0
seine,2021-04-12,flow,294.0
seine,2021-04-13,flow,288.0
seine,2021-04-14,flow,285.0
seine,2021-04-15,flow,275.0
seine,2021-04-16,flow,256.0
seine,2021-04-17,flow,248.0
seine,2021-04-18,flow,242.0
seine,2021-04-19,flow,238.0
seine,2021-04-20,flow,211.0
seine,2021-04-21,flow,216.0
seine,2021-04-22,flow,215.0
seine,2021-04-23,flow,193.0
seine,2021-04-24,flow,202.0
seine,2021-04-25,flow,197.0
seine,2021-04-26,flow,195.0
seine,2021-04-27,flow,181.0
seine,2021-04-28,flow,183.0
seine,2021-04-29,flow,199.0
seine,2021-04-30,flow,182.0
seine,2021-05-01,flow,188.0
seine,2021-05-02,flow,186.0
seine,2021-05-03,flow,176.0
seine,2021-05-04,flow,188.0
seine,2021-05-05,flow,174.0
seine,2021-05-06,flow,188.0
seine,2021-05-07,flow,218.0
seine,2021-05-08,flow,229.0
seine,2021-05-09,flow,224.0
seine,2021-05-10,flow,223.0
seine,2021-05-11,flow,215.0
seine,2021-05-12,flow,215.0
seine,2021-05-13,flow,224.0
seine,2021-05-14,flow,230.0
seine,2021-05-15,flow,229.0
seine,2021-05-16,flow,240.0
seine,2021-05-17,flow,259.0
seine,2021-05-18,flow,264.0
seine,2021-05-19,flow,271.0
seine,2021-05-20,flow,277.0
seine,2021-05-21,flow,304.0
seine,2021-05-22,flow,307.0
seine,2021-05-23,flow,297.0
seine,2021-05-24,flow,292.0
seine,2021-05-25,flow,282.0
seine,2021-05-26,flow,294.0
seine,2021-05-27,flow,274.0
seine,2021-05-28,flow,275.0
seine,2021-05-29,flow,275.0
seine,2021-05-30,flow,259.0
seine,2021-05-31,flow,242.0
seine,2021-06-01,flow,232.0
seine,2021-06-02,flow,215.0
seine,2021-06-03,flow,237.0
seine,2021-06-04,flow,278.0
seine,2021-06-05,flow,249.0
seine,2021-06-06,flow,304.0
seine,2021-06-07,flow,302.0
seine,2021-06-08,flow,303.0
seine,2021-06-09,flow,271.0
seine,2021-06-10,flow,274.0
seine,2021-06-11,flow,253.0
seine,2021-06-12,flow,228.0
seine,2021-06-13,flow,226.0
seine,2021-06-14,flow,212.0
seine,2021-06-15,flow,188.0
seine,2021-06-16,flow,189.0
seine,2021-06-17,flow,196.0
seine,2021-06-18,flow,206.0
seine,2021-06-19,flow,232.0
seine,2021-06-20,flow,261.0
seine,2021-06-21,flow,234.0
seine,2021-06-22,flow,236.0
seine,2021-06-23,flow,214.0
seine,2021-06-24,flow,187.0
seine,2021-06-25,flow,195.0
seine,2021-06-26,flow,211.0
seine,2021-06-27,flow,199.0
seine,2021-06-28,flow,220.0
seine,2021-06-29,flow,223.0
seine,2021-06-30,flow,231.0
seine,2021-07-01,flow,233.0
seine,2021-07-02,flow,226.0
seine,2021-07-03,flow,206.0
seine,2021-07-04,flow,228.0
seine,2021-07-05,flow,247.0
seine,2021-07-06,flow,237.0
seine,2021-07-07,flow,209.0
seine,2021-07-08,flow,206.0
seine,2021-07-09,flow,210.0
seine,2021-07-10,flow,205.0
seine,2021-07-11,flow,204.0
seine,2021-07-12,flow,226.0
seine,2021-07-13,flow,307.0
seine,2021-07-14,flow,450.0
seine,2021-07-15,flow,450.0
seine,2021-07-16,flow,364.0
seine,2021-07-17,flow,444.0
seine,2021-07-18,flow,490.0
seine,2021-07-19,flow,481.0
seine,2021-07-20,flow,439.0
seine,2021-07-21,flow,471.0
seine,2021-07-22,flow,446.0
seine,2021-07-23,flow,452.0
seine,2021-07-24,flow,452.0
seine,2021-07-25,flow,476.0
seine,2021-07-26,flow,537.0
seine,2021-07-27,flow,534.0
seine,2021-07-28,flow,468.0
seine,2021-07-29,flow,405.0
seine,2021-07-30,flow,385.0
seine,2021-07-31,flow,364.0
seine,2021-08-01,flow,335.0
seine,2021-08-02,flow,314.0
seine,2021-08-03,flow,330.0
seine,2021-08-04,flow,311.0
seine,2021-08-05,flow,303.0
seine,2021-08-06,flow,311.0
seine,2021-08-07,flow,318.0
seine,2021-08-08,flow,314.0
seine,2021-08-09,flow,308.0
seine,2021-08-10,flow,305.0
seine,2021-08-11,flow,303.0
seine,2021-08-12,flow,289.0
seine,2021-08-13,flow,277.0
seine,2021-08-14,flow,251.0
seine,2021-08-15,flow,254.0
seine,2021-08-16,flow,255.0
seine,2021-08-17,flow,247.0
seine,2021-08-18,flow,224.0
seine,2021-08-19,flow,241.0
seine,2021-08-20,flow,229.0
seine,2021-08-21,flow,222.0
seine,2021-08-22,flow,228.0
seine,2021-08-23,flow,236.0
seine,2021-08-24,flow,223.0
seine,2021-08-25,flow,222.0
seine,2021-08-26,flow,222.0
seine,2021-08-27,flow,222.0
seine,2021-08-28,flow,202.0
seine,2021-08-29,flow,210.0
seine,2021-08-30,flow,206.0
seine,2021-08-31,flow,208.0
seine,2021-09-01,flow,201.0
seine,2021-09-02,flow,203.0
seine,2021-09-03,flow,198.0
seine,2021-09-04,flow,199.0
seine,2021-09-05,flow,193.0
seine,2021-09-06,flow,196.0
