"Date (TU)","Valeur (en m³/s)","Statut","Qualification","Méthode","Continuité"
2021-01-01T00:00:00.000Z,"593","16",20,8,0
2021-01-02T00:00:00.000Z,"553","16",20,8,0
2021-01-03T00:00:00.000Z,"540","16",20,8,0
2021-01-04T00:00:00.000Z,"521","16",20,8,0
2021-01-05T00:00:00.000Z,"503","16",20,8,0
2021-01-06T00:00:00.000Z,"475","16",20,8,0
2021-01-07T00:00:00.000Z,"451","16",20,8,0
2021-01-08T00:00:00.000Z,"419","16",20,8,0
2021-01-09T00:00:00.000Z,"391","16",20,8,0
2021-01-10T00:00:00.000Z,"363","16",20,8,0
2021-01-11T00:00:00.000Z,"331","16",20,8,0
2021-01-12T00:00:00.000Z,"294","16",20,8,0
2021-01-13T00:00:00.000Z,"365","16",20,8,0
2021-01-14T00:00:00.000Z,"435","16",20,8,0
2021-01-15T00:00:00.000Z,"596","16",20,8,0
2021-01-16T00:00:00.000Z,"677","16",20,8,0
2021-01-17T00:00:00.000Z,"690","16",20,8,0
2021-01-18T00:00:00.000Z,"757","16",20,8,0
2021-01-19T00:00:00.000Z,"771","16",20,8,0
2021-01-20T00:00:00.000Z,"770","16",20,8,0
2021-01-21T00:00:00.000Z,"767","16",20,8,0
2021-01-22T00:00:00.000Z,"826","16",20,8,0
2021-01-23T00:00:00.000Z,"915","16",20,8,0
2021-01-24T00:00:00.000Z,"971","16",20,8,0
2021-01-25T00:00:00.000Z,"978","16",20,8,0
2021-01-26T00:00:00.000Z,"947","16",20,8,0
2021-01-27T00:00:00.000Z,"918","16",20,8,0
2021-01-28T00:00:00.000Z,"905","16",20,8,0
2021-01-29T00:00:00.000Z,"945","16",20,8,0
2021-01-30T00:00:00.000Z,"1050","16",20,8,0
2021-01-31T00:00:00.000Z,"1130","16",20,8,0
2021-02-01T00:00:00.000Z,"1200","16",20,8,0
2021-02-02T00:00:00.000Z,"1230","16",20,8,0
2021-02-03T00:00:00.000Z,"1250","16",20,8,0
2021-02-04T00:00:00.000Z,"1250","16",20,8,0
2021-02-05T00:00:00.000Z,"1250","16",20,8,0
2021-02-06T00:00:00.000Z,"1270","16",20,8,0
2021-02-07T00:00:00.000Z,"1300","16",20,8,0
2021-02-08T00:00:00.000Z,"1300","16",20,8,0
2021-02-09T00:00:00.000Z,"1300","16",20,8,0
2021-02-10T00:00:00.000Z,"1280","16",20,8,0
2021-02-11T00:00:00.000Z,"1230","16",20,8,0
2021-02-12T00:00:00.000Z,"1180","16",20,8,0
2021-02-13T00:00:00.000Z,"1130","16",20,8,0
2021-02-14T00:00:00.000Z,"1070","16",20,8,0
2021-02-15T00:00:00.000Z,"994","16",20,8,0
2021-02-16T00:00:00.000Z,"943","16",20,8,0
2021-02-17T00:00:00.000Z,"911","16",20,8,0
2021-02-18T00:00:00.000Z,"868","16",20,8,0
2021-02-19T00:00:00.000Z,"822","16",20,8,0
2021-02-20T00:00:00.000Z,"788","16",20,8,0
2021-02-21T00:00:00.000Z,"744","16",20,8,0
2021-02-22T00:00:00.000Z,"688","16",20,8,0
2021-02-23T00:00:00.000Z,"653","16",20,8,0
2021-02-24T00:00:00.000Z,"608","16",20,8,0
2021-02-25T00:00:00.000Z,"574","16",20,8,0
2021-02-26T00:00:00.000Z,"544","16",20,8,0
2021-02-27T00:00:00.000Z,"509","16",20,8,0
2021-02-28T00:00:00.000Z,"488","16",20,8,0
2021-03-01T00:00:00.000Z,"460","16",20,8,0
2021-03-02T00:00:00.000Z,"425","16",20,8,0
2021-03-03T00:00:00.000Z,"413","16",20,8,0
2021-03-04T00:00:00.000Z,"398","16",20,8,0
2021-03-05T00:00:00.000Z,"368","16",20,8,0
