latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
48.822495,2.2881355,43.0,7200,Europe/Berlin,GMT+2

time,precipitation_sum (mm),temperature_2m_mean (°C),et0_fao_evapotranspiration (mm)
2021-01-01,0.00,0.3,0.32
2021-01-02,0.00,0.4,0.29
2021-01-03,0.20,1.8,0.27
2021-01-04,0.30,1.8,0.22
2021-01-05,0.50,1.8,0.25
2021-01-06,0.60,2.3,0.23
2021-01-07,0.50,1.6,0.25
2021-01-08,0.00,0.6,0.34
2021-01-09,0.00,0.4,0.42
2021-01-10,0.00,-0.2,0.36
2021-01-11,0.00,1.4,0.29
2021-01-12,9.10,6.6,0.41
2021-01-13,1.80,7.3,0.30
2021-01-14,5.70,8.7,0.47
2021-01-15,0.70,1.7,0.67
2021-01-16,7.20,0.5,0.28
2021-01-17,1.00,4.5,0.45
2021-01-18,0.00,4.2,0.63
2021-01-19,5.10,5.5,0.65
2021-01-20,0.30,9.2,2.09
2021-01-21,9.50,8.9,1.14
2021-01-22,5.40,5.3,0.52
2021-01-23,5.60,3.0,0.28
2021-01-24,3.30,1.0,0.25
2021-01-25,0.40,2.2,0.65
2021-01-26,0.30,1.5,0.62
2021-01-27,4.20,5.4,0.40
2021-01-28,8.40,11.2,0.74
2021-01-29,3.60,10.1,1.15
2021-01-30,11.90,9.4,0.71
2021-01-31,10.60,8.5,0.40
2021-02-01,2.20,8.5,0.61
2021-02-02,2.20,10.9,0.93
2021-02-03,4.60,10.7,1.09
2021-02-04,2.50,8.0,0.56
2021-02-05,0.30,8.1,0.68
2021-02-06,16.50,7.3,0.31
2021-02-07,3.90,3.7,0.36
2021-02-08,0.20,-0.5,0.55
2021-02-09,0.20,-2.0,0.59
2021-02-10,2.60,-3.3,1.13
2021-02-11,0.00,-3.2,1.17
2021-02-12,0.00,-2.3,1.34
2021-02-13,0.00,-3.5,1.38
2021-02-14,0.00,-1.6,1.46
2021-02-15,4.00,4.2,0.82
2021-02-16,1.30,7.7,1.12
2021-02-17,0.00,9.1,0.98
2021-02-18,6.80,8.6,0.87
2021-02-19,0.00,8.3,1.00
2021-02-20,0.00,12.2,2.24
2021-02-21,0.00,11.4,2.19
2021-02-22,0.30,11.7,1.47
2021-02-23,0.00,13.0,1.71
2021-02-24,0.00,12.8,1.89
2021-02-25,0.10,12.0,1.67
2021-02-26,3.10,8.9,1.29
2021-02-27,0.00,5.1,1.55
2021-02-28,0.00,5.5,1.60
2021-03-01,0.00,5.9,1.69
2021-03-02,0.00,7.4,1.81
2021-03-03,1.10,10.0,1.73
2021-03-04,0.70,8.9,1.13
