site,date,variable,value
river,2021-03-03,temperature,7.9
river,2021-03-04,temperature,7.833333333333334
river,2021-03-05,temperature,7.766666666666667
river,2021-03-06,temperature,7.7
river,2021-03-07,temperature,7.633333333333334
river,2021-03-08,temperature,7.566666666666666
river,2021-03-09,temperature,7.5
river,2021-03-10,temperature,7.957142857142857
river,2021-03-11,temperature,8.414285714285715
river,2021-03-12,temperature,8.87142857142857
river,2021-03-13,temperature,9.328571428571427
river,2021-03-14,temperature,9.785714285714285
river,2021-03-15,temperature,10.242857142857142
river,2021-03-16,temperature,10.7
river,2021-03-17,temperature,10.424999999999999
river,2021-03-18,temperature,10.149999999999999
river,2021-03-19,temperature,9.875
river,2021-03-20,temperature,9.6
river,2021-03-21,temperature,9.325
river,2021-03-22,temperature,9.05
river,2021-03-23,temperature,8.775
river,2021-03-24,temperature,8.5
river,2021-03-25,temperature,8.675
river,2021-03-26,temperature,8.85
river,2021-03-27,temperature,9.025
river,2021-03-28,temperature,9.2
river,2021-03-29,temperature,9.375
river,2021-03-30,temperature,9.55
river,2021-03-31,temperature,9.725
river,2021-04-01,temperature,9.9
river,2021-04-02,temperature,10.32
river,2021-04-03,temperature,10.74
river,2021-04-04,temperature,11.16
river,2021-04-05,temperature,11.58
river,2021-04-06,temperature,12.0
river,2021-04-07,temperature,12.075
river,2021-04-08,temperature,12.15
river,2021-04-09,temperature,12.225
river,2021-04-10,temperature,12.3
river,2021-04-11,temperature,12.375
river,2021-04-12,temperature,12.45
river,2021-04-13,temperature,12.525
river,2021-04-14,temperature,12.6
river,2021-04-15,temperature,12.683333333333334
river,2021-04-16,temperature,12.766666666666666
river,2021-04-17,temperature,12.85
river,2021-04-18,temperature,12.933333333333334
river,2021-04-19,temperature,13.016666666666666
river,2021-04-20,temperature,13.1
river,2021-04-21,temperature,13.028571428571428
river,2021-04-22,temperature,12.957142857142857
river,2021-04-23,temperature,12.885714285714286
river,2021-04-24,temperature,12.814285714285713
river,2021-04-25,temperature,12.742857142857142
river,2021-04-26,temperature,12.67142857142857
river,2021-04-27,temperature,12.6
river,2021-04-28,temperature,12.737499999999999
river,2021-04-29,temperature,12.875
river,2021-04-30,temperature,13.0125
river,2021-05-01,temperature,13.149999999999999
river,2021-05-02,temperature,13.2875
river,2021-05-03,temperature,13.424999999999999
river,2021-05-04,temperature,13.5625
river,2021-05-05,temperature,13.7
river,2021-05-06,temperature,13.816666666666666
river,2021-05-07,temperature,13.933333333333334
river,2021-05-08,temperature,14.05
river,2021-05-09,temperature,14.166666666666666
river,2021-05-10,temperature,14.283333333333333
river,2021-05-11,temperature,14.4
river,2021-05-12,temperature,14.242857142857144
river,2021-05-13,temperature,14.085714285714285
river,2021-05-14,temperature,13.928571428571429
river,2021-05-15,temperature,13.771428571428572
river,2021-05-16,temperature,13.614285714285716
river,2021-05-17,temperature,13.457142857142857
river,2021-05-18,temperature,13.3
river,2021-05-19,temperature,13.9375
river,2021-05-20,temperature,14.575
river,2021-05-21,temperature,15.2125
river,2021-05-22,temperature,15.85
river,2021-05-23,temperature,16.4875
river,2021-05-24,temperature,17.125
river,2021-05-25,temperature,17.7625
river,2021-05-26,temperature,18.4
river,2021-05-27,temperature,18.73333333333333
river,2021-05-28,temperature,19.066666666666666
river,2021-05-29,temperature,19.4
river,2021-05-30,temperature,19.73333333333333
river,2021-05-31,temperature,20.066666666666666
river,2021-06-01,temperature,20.4
river,2021-06-02,temperature,19.84285714285714
river,2021-06-03,temperature,19.285714285714285
river,2021-06-04,temperature,18.728571428571428
river,2021-06-05,temperature,18.17142857142857
river,2021-06-06,temperature,17.614285714285714
river,2021-06-07,temperature,17.057142857142857
river,2021-06-08,temperature,16.5
river,2021-06-09,temperature,17.014285714285716
river,2021-06-10,temperature,17.52857142857143
river,2021-06-11,temperature,18.042857142857144
river,2021-06-12,temperature,18.557142857142857
river,2021-06-13,temperature,19.071428571428573
river,2021-06-14,temperature,19.585714285714285
river,2021-06-15,temperature,20.1
river,2021-06-16,temperature,19.842857142857145
river,2021-06-17,temperature,19.585714285714285
river,2021-06-18,temperature,19.32857142857143
river,2021-06-19,temperature,19.071428571428573
river,2021-06-20,temperature,18.814285714285717
river,2021-06-21,temperature,18.557142857142857
river,2021-06-22,temperature,18.3
river,2021-06-23,temperature,19.014285714285716
river,2021-06-24,temperature,19.728571428571428
river,2021-06-25,temperature,20.442857142857143
river,2021-06-26,temperature,21.15714285714286
river,2021-06-27,temperature,21.871428571428574
river,2021-06-28,temperature,22.585714285714285
river,2021-06-29,temperature,23.3
river,2021-06-30,temperature,23.042857142857144
river,2021-07-01,temperature,22.785714285714285
river,2021-07-02,temperature,22.52857142857143
river,2021-07-03,temperature,22.271428571428572
river,2021-07-04,temperature,22.014285714285716
river,2021-07-05,temperature,21.757142857142856
river,2021-07-06,temperature,21.5
river,2021-07-07,temperature,21.257142857142856
river,2021-07-08,temperature,21.014285714285716
river,2021-07-09,temperature,20.771428571428572
river,2021-07-10,temperature,20.52857142857143
river,2021-07-11,temperature,20.285714285714285
river,2021-07-12,temperature,20.042857142857144
river,2021-07-13,temperature,19.8
river,2021-07-14,temperature,19.62857142857143
river,2021-07-15,temperature,19.45714285714286
river,2021-07-16,temperature,19.28571428571429
river,2021-07-17,temperature,19.114285714285714
river,2021-07-18,temperature,18.942857142857143
river,2021-07-19,temperature,18.771428571428572
river,2021-07-20,temperature,18.6
river,2021-07-21,temperature,18.614285714285714
river,2021-07-22,temperature,18.62857142857143
river,2021-07-23,temperature,18.642857142857142
river,2021-07-24,temperature,18.65714285714286
river,2021-07-25,temperature,18.67142857142857
river,2021-07-26,temperature,18.685714285714287
river,2021-07-27,temperature,18.7
river,2021-07-28,temperature,18.662499999999998
river,2021-07-29,temperature,18.625
river,2021-07-30,temperature,18.5875
river,2021-07-31,temperature,18.549999999999997
river,2021-08-01,temperature,18.5125
river,2021-08-02,temperature,18.474999999999998
river,2021-08-03,temperature,18.4375
river,2021-08-04,temperature,18.4
river,2021-08-05,temperature,18.4
river,2021-08-06,temperature,18.4
river,2021-08-07,temperature,18.4
river,2021-08-08,temperature,18.4
river,2021-08-09,temperature,18.4
river,2021-08-10,temperature,18.4
river,2021-08-11,temperature,18.628571428571426
river,2021-08-12,temperature,18.857142857142858
river,2021-08-13,temperature,19.085714285714285
river,2021-08-14,temperature,19.314285714285713
river,2021-08-15,temperature,19.54285714285714
river,2021-08-16,temperature,19.771428571428572
river,2021-08-17,temperature,20.0
river,2021-08-18,temperature,19.914285714285715
river,2021-08-19,temperature,19.82857142857143
river,2021-08-20,temperature,19.742857142857144
river,2021-08-21,temperature,19.657142857142855
river,2021-08-22,temperature,19.57142857142857
river,2021-08-23,temperature,19.485714285714284
river,2021-08-24,temperature,19.4
river,2021-08-25,temperature,19.155555555555555
river,2021-08-26,temperature,18.91111111111111
river,2021-08-27,temperature,18.666666666666664
river,2021-08-28,temperature,18.42222222222222
river,2021-08-29,temperature,18.177777777777777
river,2021-08-30,temperature,17.933333333333334
river,2021-08-31,temperature,17.68888888888889
river,2021-09-01,temperature,17.444444444444443
river,2021-09-02,temperature,17.2
river,2021-09-03,temperature,17.12
river,2021-09-04,temperature,17.04
river,2021-09-05,temperature,16.96
river,2021-09-06,temperature,16.88
river,2021-09-07,temperature,16.8
river,2021-09-08,temperature,16.925
river,2021-09-09,temperature,17.05
river,2021-09-10,temperature,17.175
river,2021-09-11,temperature,17.3
river,2021-09-12,temperature,17.425
river,2021-09-13,temperature,17.55
river,2021-09-14,temperature,17.675
river,2021-09-15,temperature,17.8
river,2021-09-16,temperature,17.785714285714285
river,2021-09-17,temperature,17.771428571428572
river,2021-09-18,temperature,17.757142857142856
river,2021-09-19,temperature,17.742857142857144
river,2021-09-20,temperature,17.728571428571428
river,2021-09-21,temperature,17.714285714285715
river,2021-09-22,temperature,17.7
river,2021-09-23,temperature,17.771428571428572
river,2021-09-24,temperature,17.84285714285714
river,2021-09-25,temperature,17.914285714285715
river,2021-09-26,temperature,17.985714285714284
river,2021-09-27,temperature,18.057142857142857
river,2021-09-28,temperature,18.128571428571426
river,2021-09-29,temperature,18.2
river,2021-09-30,temperature,17.733333333333334
river,2021-10-01,temperature,17.266666666666666
river,2021-10-02,temperature,16.8
river,2021-10-03,temperature,16.333333333333332
river,2021-10-04,temperature,15.866666666666667
river,2021-10-05,temperature,15.4
river,2021-10-06,temperature,15.4
river,2021-10-07,temperature,15.4
river,2021-10-08,temperature,15.4
river,2021-10-09,temperature,15.4
river,2021-10-10,temperature,15.4
river,2021-10-11,temperature,15.4
river,2021-10-12,temperature,15.4
river,2021-10-13,temperature,15.4
river,2021-10-14,temperature,14.914285714285715
river,2021-10-15,temperature,14.428571428571429
river,2021-10-16,temperature,13.942857142857143
river,2021-10-17,temperature,13.457142857142857
river,2021-10-18,temperature,12.971428571428572
river,2021-10-19,temperature,12.485714285714286
river,2021-10-20,temperature,12.0
river,2021-10-21,temperature,12.342857142857143
river,2021-10-22,temperature,12.685714285714285
river,2021-10-23,temperature,13.028571428571428
river,2021-10-24,temperature,13.371428571428572
river,2021-10-25,temperature,13.714285714285715
river,2021-10-26,temperature,14.057142857142857
river,2021-10-27,temperature,14.4
river,2021-10-28,temperature,14.314285714285715
river,2021-10-29,temperature,14.22857142857143
river,2021-10-30,temperature,14.142857142857144
river,2021-10-31,temperature,14.057142857142857
river,2021-11-01,temperature,13.971428571428572
river,2021-11-02,temperature,13.885714285714286
river,2021-11-03,temperature,13.8
river,2021-11-04,temperature,13.3
river,2021-11-05,temperature,12.8
river,2021-11-06,temperature,12.3
river,2021-11-07,temperature,11.8
river,2021-11-08,temperature,11.3
river,2021-11-09,temperature,10.8
river,2021-11-10,temperature,10.3
river,2021-11-11,temperature,10.200000000000001
river,2021-11-12,temperature,10.1
river,2021-11-13,temperature,10.0
river,2021-11-14,temperature,9.9
river,2021-11-15,temperature,9.8
river,2021-11-16,temperature,9.7
river,2021-11-17,temperature,9.6
river,2021-11-18,temperature,9.628571428571428
river,2021-11-19,temperature,9.657142857142857
river,2021-11-20,temperature,9.685714285714285
river,2021-11-21,temperature,9.714285714285715
river,2021-11-22,temperature,9.742857142857144
river,2021-11-23,temperature,9.771428571428572
river,2021-11-24,temperature,9.8
river,2021-11-25,temperature,9.314285714285715
river,2021-11-26,temperature,8.82857142857143
river,2021-11-27,temperature,8.342857142857143
river,2021-11-28,temperature,7.857142857142858
river,2021-11-29,temperature,7.371428571428572
river,2021-11-30,temperature,6.885714285714286
river,2021-12-01,temperature,6.4
river,2021-12-02,temperature,6.557142857142858
river,2021-12-03,temperature,6.714285714285714
river,2021-12-04,temperature,6.871428571428572
river,2021-12-05,temperature,7.0285714285714285
river,2021-12-06,temperature,7.185714285714286
river,2021-12-07,temperature,7.3428571428571425
river,2021-12-08,temperature,7.5
river,2021-12-09,temperature,7.4125
river,2021-12-10,temperature,7.325
river,2021-12-11,temperature,7.2375
river,2021-12-12,temperature,7.15
river,2021-12-13,temperature,7.0625
river,2021-12-14,temperature,6.975
river,2021-12-15,temperature,6.8875
river,2021-12-16,temperature,6.8
river,2021-12-17,temperature,6.6049999999999995
river,2021-12-18,temperature,6.41
river,2021-12-19,temperature,6.215
river,2021-12-20,temperature,6.02
river,2021-12-21,temperature,5.824999999999999
river,2021-12-22,temperature,5.63
river,2021-12-23,temperature,5.435
river,2021-12-24,temperature,5.24
river,2021-12-25,temperature,5.045
river,2021-12-26,temperature,4.85
river,2021-12-27,temperature,4.654999999999999
river,2021-12-28,temperature,4.46
river,2021-12-29,temperature,4.265
river,2021-12-30,temperature,4.07
river,2021-12-31,temperature,3.8749999999999996
river,2022-01-01,temperature,3.6799999999999997
river,2022-01-02,temperature,3.485
river,2022-01-03,temperature,3.2899999999999996
river,2022-01-04,temperature,3.0949999999999998
river,2022-01-05,temperature,2.9
river,2022-01-06,temperature,2.9857142857142858
river,2022-01-07,temperature,3.071428571428571
river,2022-01-08,temperature,3.157142857142857
river,2022-01-09,temperature,3.242857142857143
river,2022-01-10,temperature,3.3285714285714287
river,2022-01-11,temperature,3.414285714285714
river,2022-01-12,temperature,3.5
river,2022-01-13,temperature,3.914285714285714
river,2022-01-14,temperature,4.328571428571428
river,2022-01-15,temperature,4.742857142857143
river,2022-01-16,temperature,5.1571428571428575
river,2022-01-17,temperature,5.571428571428571
river,2022-01-18,temperature,5.985714285714286
river,2022-01-19,temperature,6.4
river,2022-01-20,temperature,6.214285714285714
river,2022-01-21,temperature,6.0285714285714285
river,2022-01-22,temperature,5.842857142857143
river,2022-01-23,temperature,5.6571428571428575
river,2022-01-24,temperature,5.4714285714285715
river,2022-01-25,temperature,5.285714285714286
river,2022-01-26,temperature,5.1
river,2022-01-27,temperature,5.142857142857142
river,2022-01-28,temperature,5.185714285714286
river,2022-01-29,temperature,5.228571428571429
river,2022-01-30,temperature,5.271428571428571
river,2022-01-31,temperature,5.314285714285714
river,2022-02-01,temperature,5.357142857142858
river,2022-02-02,temperature,5.4
river,2022-02-03,temperature,5.4714285714285715
river,2022-02-04,temperature,5.542857142857144
river,2022-02-05,temperature,5.614285714285715
river,2022-02-06,temperature,5.685714285714286
river,2022-02-07,temperature,5.757142857142857
river,2022-02-08,temperature,5.828571428571429
river,2022-02-09,temperature,5.9
river,2022-02-10,temperature,5.885714285714286
river,2022-02-11,temperature,5.871428571428572
river,2022-02-12,temperature,5.857142857142858
river,2022-02-13,temperature,5.8428571428571425
river,2022-02-14,temperature,5.828571428571428
river,2022-02-15,temperature,5.814285714285714
river,2022-02-16,temperature,5.8
river,2022-02-17,temperature,5.728571428571429
river,2022-02-18,temperature,5.657142857142857
river,2022-02-19,temperature,5.585714285714285
river,2022-02-20,temperature,5.514285714285714
river,2022-02-21,temperature,5.442857142857143
river,2022-02-22,temperature,5.371428571428571
river,2022-02-23,temperature,5.3
river,2022-02-24,temperature,5.6
river,2022-02-25,temperature,5.9
river,2022-02-26,temperature,6.2
river,2022-02-27,temperature,6.5
river,2022-02-28,temperature,6.800000000000001
river,2022-03-01,temperature,7.1000000000000005
river,2022-03-02,temperature,7.4
river,2022-03-03,temperature,7.242857142857143
river,2022-03-04,temperature,7.085714285714286
river,2022-03-05,temperature,6.928571428571429
river,2022-03-06,temperature,6.771428571428571
river,2022-03-07,temperature,6.614285714285714
river,2022-03-08,temperature,6.457142857142857
river,2022-03-09,temperature,6.3
river,2022-03-10,temperature,6.571428571428571
river,2022-03-11,temperature,6.8428571428571425
river,2022-03-12,temperature,7.114285714285714
river,2022-03-13,temperature,7.385714285714285
river,2022-03-14,temperature,7.657142857142857
river,2022-03-15,temperature,7.928571428571428
river,2022-03-16,temperature,8.2
river,2022-03-17,temperature,8.385714285714284
river,2022-03-18,temperature,8.571428571428571
river,2022-03-19,temperature,8.757142857142856
river,2022-03-20,temperature,8.942857142857143
river,2022-03-21,temperature,9.128571428571428
river,2022-03-22,temperature,9.314285714285713
river,2022-03-23,temperature,9.5
river,2022-03-24,temperature,9.514285714285714
river,2022-03-25,temperature,9.528571428571428
river,2022-03-26,temperature,9.542857142857143
river,2022-03-27,temperature,9.557142857142857
river,2022-03-28,temperature,9.571428571428571
river,2022-03-29,temperature,9.585714285714285
river,2022-03-30,temperature,9.6
river,2022-03-31,temperature,9.614285714285714
river,2022-04-01,temperature,9.628571428571428
river,2022-04-02,temperature,9.642857142857142
river,2022-04-03,temperature,9.657142857142857
river,2022-04-04,temperature,9.67142857142857
river,2022-04-05,temperature,9.685714285714285
river,2022-04-06,temperature,9.7
river,2022-04-07,temperature,9.857142857142856
river,2022-04-08,temperature,10.014285714285714
river,2022-04-09,temperature,10.17142857142857
river,2022-04-10,temperature,10.32857142857143
river,2022-04-11,temperature,10.485714285714286
river,2022-04-12,temperature,10.642857142857142
river,2022-04-13,temperature,10.8
river,2022-04-14,temperature,10.9375
river,2022-04-15,temperature,11.075000000000001
river,2022-04-16,temperature,11.2125
river,2022-04-17,temperature,11.350000000000001
river,2022-04-18,temperature,11.4875
river,2022-04-19,temperature,11.625
river,2022-04-20,temperature,11.762500000000001
river,2022-04-21,temperature,11.9
river,2022-04-22,temperature,12.416666666666668
river,2022-04-23,temperature,12.933333333333334
river,2022-04-24,temperature,13.45
river,2022-04-25,temperature,13.966666666666667
river,2022-04-26,temperature,14.483333333333334
river,2022-04-27,temperature,15.0
river,2022-04-28,temperature,14.457142857142857
river,2022-04-29,temperature,13.914285714285715
river,2022-04-30,temperature,13.371428571428572
river,2022-05-01,temperature,12.82857142857143
river,2022-05-02,temperature,12.285714285714285
river,2022-05-03,temperature,11.742857142857142
river,2022-05-04,temperature,11.2
river,2022-05-05,temperature,11.314285714285713
river,2022-05-06,temperature,11.428571428571429
river,2022-05-07,temperature,11.542857142857143
river,2022-05-08,temperature,11.657142857142857
river,2022-05-09,temperature,11.77142857142857
river,2022-05-10,temperature,11.885714285714286
river,2022-05-11,temperature,12.0
river,2022-05-12,temperature,12.214285714285714
river,2022-05-13,temperature,12.428571428571429
river,2022-05-14,temperature,12.642857142857142
river,2022-05-15,temperature,12.857142857142858
river,2022-05-16,temperature,13.071428571428571
river,2022-05-17,temperature,13.285714285714285
river,2022-05-18,temperature,13.5
river,2022-05-19,temperature,14.1125
river,2022-05-20,temperature,14.725
river,2022-05-21,temperature,15.337499999999999
river,2022-05-22,temperature,15.95
river,2022-05-23,temperature,16.5625
river,2022-05-24,temperature,17.174999999999997
river,2022-05-25,temperature,17.787499999999998
river,2022-05-26,temperature,18.4
river,2022-05-27,temperature,18.099999999999998
river,2022-05-28,temperature,17.8
river,2022-05-29,temperature,17.5
river,2022-05-30,temperature,17.2
river,2022-05-31,temperature,16.9
river,2022-06-01,temperature,16.6
river,2022-06-02,temperature,16.3
river,2022-06-03,temperature,16.5
river,2022-06-04,temperature,16.7
river,2022-06-05,temperature,16.9
river,2022-06-06,temperature,17.1
river,2022-06-07,temperature,17.3
river,2022-06-08,temperature,17.5
river,2022-06-09,temperature,17.32857142857143
river,2022-06-10,temperature,17.15714285714286
river,2022-06-11,temperature,16.985714285714288
river,2022-06-12,temperature,16.814285714285713
river,2022-06-13,temperature,16.642857142857142
river,2022-06-14,temperature,16.47142857142857
river,2022-06-15,temperature,16.3
river,2022-06-16,temperature,16.842857142857145
river,2022-06-17,temperature,17.385714285714286
river,2022-06-18,temperature,17.92857142857143
river,2022-06-19,temperature,18.47142857142857
river,2022-06-20,temperature,19.014285714285716
river,2022-06-21,temperature,19.557142857142857
river,2022-06-22,temperature,20.1
river,2022-06-23,temperature,20.400000000000002
river,2022-06-24,temperature,20.7
river,2022-06-25,temperature,21.0
river,2022-06-26,temperature,21.3
river,2022-06-27,temperature,21.6
river,2022-06-28,temperature,21.9
river,2022-06-29,temperature,22.2
river,2022-06-30,temperature,21.957142857142856
river,2022-07-01,temperature,21.714285714285715
river,2022-07-02,temperature,21.47142857142857
river,2022-07-03,temperature,21.228571428571428
river,2022-07-04,temperature,20.985714285714284
river,2022-07-05,temperature,20.742857142857144
river,2022-07-06,temperature,20.5
river,2022-07-07,temperature,20.442857142857143
river,2022-07-08,temperature,20.385714285714286
river,2022-07-09,temperature,20.32857142857143
river,2022-07-10,temperature,20.271428571428572
river,2022-07-11,temperature,20.214285714285715
river,2022-07-12,temperature,20.15714285714286
river,2022-07-13,temperature,20.1
river,2022-07-14,temperature,20.116666666666667
river,2022-07-15,temperature,20.133333333333333
river,2022-07-16,temperature,20.15
river,2022-07-17,temperature,20.166666666666668
river,2022-07-18,temperature,20.183333333333334
river,2022-07-19,temperature,20.2
river,2022-07-20,temperature,20.375
river,2022-07-21,temperature,20.55
river,2022-07-22,temperature,20.725
river,2022-07-23,temperature,20.9
river,2022-07-24,temperature,21.075
river,2022-07-25,temperature,21.25
river,2022-07-26,temperature,21.425
river,2022-07-27,temperature,21.6
river,2022-07-28,temperature,21.5
river,2022-07-29,temperature,21.400000000000002
river,2022-07-30,temperature,21.3
river,2022-07-31,temperature,21.2
river,2022-08-01,temperature,21.099999999999998
river,2022-08-02,temperature,21.0
river,2022-08-03,temperature,20.9
river,2022-08-04,temperature,20.57142857142857
river,2022-08-05,temperature,20.242857142857144
